Start Date,Location,League,Fixture ID,Home / Away,Status
"2026 Apr 01
01:00",International,Friendlies National Teams,#18420548,"Mexico
Belgium",NSY
"2026 Apr 01
00:00",International,Friendlies National Teams,#17881037,"Brazil
Croatia",NSY
"2026 Mar 31
23:30",International,Friendlies National Teams,#18443299,"Canada
Tunisia",NSY
"2026 Mar 31
23:15",International,Friendlies National Teams,#18433516,"Argentina
Zambia",NSY
"2026 Mar 31
23:00",International,Friendlies National Teams,#18438383,"USA
Portugal",NSY
"2026 Mar 31
19:00",International,Friendlies National Teams,#18349257,"Spain
Egypt",NSY
"2026 Mar 31
19:00",International,Friendlies National Teams,#18444749,"Senegal
Gambia",NSY
"2026 Mar 31
19:00",International,Friendlies National Teams,#18421569,"Burkina Faso
Guinea Bissau",NSY
"2026 Mar 31
18:45",International,Friendlies National Teams,#18413175,"Netherlands
Ecuador",NSY
"2026 Mar 31
18:45",International,Friendlies National Teams,#18439132,"Wales
Northern Ireland",NSY
"2026 Mar 31
18:45",International,Friendlies National Teams,#18434580,"Slovakia
Romania",NSY
"2026 Mar 31
18:45",International,Friendlies National Teams,#18439131,"Republic of Ireland
North Macedonia",NSY
"2026 Mar 31
18:45",International,Friendlies National Teams,#18423704,"England
Japan",NSY
"2026 Mar 31
18:45",International,Friendlies National Teams,#18386616,"Austria
South Korea",NSY
"2026 Mar 31
18:45",International,Friendlies National Teams,#18440148,"Ukraine
Albania",NSY
"2026 Mar 31
18:30",International,Friendlies National Teams,#18434003,"Scotland
Ivory Coast",NSY
"2026 Mar 31
18:30",International,Friendlies National Teams,#18440714,"Algeria
Uruguay",NSY
"2026 Mar 31
18:00",International,Friendlies National Teams,#18447795,"Guinea
Benin",NSY
"2026 Mar 31
18:00",International,Friendlies National Teams,#18413174,"Morocco
Paraguay",NSY
"2026 Mar 31
18:00",International,Friendlies National Teams,#18440713,"Peru
Honduras",NSY
"2026 Mar 31
17:30",International,Friendlies National Teams,#18445696,"South Africa
Panama",NSY
"2026 Mar 31
17:30",International,Friendlies National Teams,#18427301,"Jordan
Nigeria",NSY
"2026 Mar 31
17:00",International,Friendlies National Teams,#18049367,"Russia
Mali",NSY
"2026 Mar 31
17:00",International,Friendlies National Teams,#18385653,"Hungary
Greece",NSY
"2026 Mar 31
16:30",International,Friendlies National Teams,#18437195,"Haiti
Iceland",NSY
"2026 Mar 31
16:00",International,Friendlies National Teams,#18432803,"Montenegro
Slovenia",NSY
"2026 Mar 31
16:00",International,Friendlies National Teams,#18438227,"San Marino
Andorra",NSY
"2026 Mar 31
16:00",International,Friendlies National Teams,#18427154,"Norway
Switzerland",NSY
"2026 Mar 31
16:00",International,Friendlies National Teams,#18438579,"Niger
Togo",NSY
"2026 Mar 31
16:00",International,Friendlies National Teams,#18427302,"Serbia
Saudi Arabia",NSY
"2026 Mar 31
15:00",International,Friendlies National Teams,#18448979,"Liberia
Libya",NSY
"2026 Mar 31
13:00",International,Friendlies National Teams,#18438318,"Botswana
Malawi",NSY
"2026 Mar 31
09:00",International,Friendlies National Teams,#18423772,"Equatorial Guinea
Madagascar",NSY
"2026 Mar 30
22:00",International,Friendlies National Teams,#18443171,"Dominica
Sint Maarten",NSY
"2026 Mar 30
19:00",International,Friendlies National Teams,#18437961,"Guyana
Belize",NSY
"2026 Mar 30
18:45",International,Friendlies National Teams,#18385652,"Germany
Ghana",NSY
"2026 Mar 30
16:00",International,Friendlies National Teams,#18430500,"Cyprus
Moldova",NSY
