id;team_id;league_id;name;alternate_name;team_location;logo_url;theme_color;created_at;updated_at
1;763f573c-5ecb-4ff7-82b7-8ccf3a13e46f;de1bd252-baf5-4417-89ba-77d635f5f8f0;Everton;Everton;"Liverpool, England";https://dev-frankfurt-assets.pred.app/market-assets/Everton_128x128.png;#1A508E;2025-10-30 16:15:54.023644+00;2025-10-30 16:15:54.023644+00
2;"05273e3e-db46-4e1b-9c6f-887835f28510";de1bd252-baf5-4417-89ba-77d635f5f8f0;Arsenal;Arsenal;"London, England";https://dev-frankfurt-assets.pred.app/market-assets/Arsenal_128x128.png;#AE2447;2025-10-31 05:16:47.187565+00;2025-10-31 05:16:47.187565+00
3;1c1e0f9b-3385-42da-9453-74a22b77341d;de1bd252-baf5-4417-89ba-77d635f5f8f0;Brighton;Brighton;"Brighton, England";https://dev-frankfurt-assets.pred.app/market-assets/Brighton_128x128.png;#185DA0;2025-10-31 05:17:03.544539+00;2025-10-31 05:17:03.544539+00
4;c396b003-9604-42d9-9b94-e7ce6f5d5d4b;de1bd252-baf5-4417-89ba-77d635f5f8f0;Newcastle;Newcastle;"Newcastle upon Tyne, England";https://dev-frankfurt-assets.pred.app/market-assets/Newcastle_128x128.png;#2CA2C9;2025-10-31 05:19:28.325447+00;2025-10-31 05:19:28.325447+00
5;d3b666be-e2c2-44e9-96fa-6ad167cb9541;de1bd252-baf5-4417-89ba-77d635f5f8f0;Brentford;Brentford;"London, England";https://dev-frankfurt-assets.pred.app/market-assets/Brentford_128x128.png;#B70A0A;2025-10-31 05:17:18.794063+00;2025-10-31 05:17:18.794063+00
6;21a2ecaa-5f99-4369-8de3-ba95ab9e3812;de1bd252-baf5-4417-89ba-77d635f5f8f0;Liverpool;Liverpool;"Liverpool, England";https://dev-frankfurt-assets.pred.app/market-assets/Liverpool_128x128.png;#DE2B32;2025-10-31 05:17:36.735785+00;2025-10-31 05:17:36.735785+00
7;c701e01c-7dcd-49b8-a965-d96e45ebd779;de1bd252-baf5-4417-89ba-77d635f5f8f0;Man City;Man City;"Manchester, England";https://dev-frankfurt-assets.pred.app/market-assets/Manchestercity_128x128.png;#368DD3;2025-10-31 05:17:51.018828+00;2025-10-31 05:17:51.018828+00
8;64573051-88b5-40d4-aba3-85ac467b0a25;de1bd252-baf5-4417-89ba-77d635f5f8f0;Chelsea;Chelsea;"London, England";https://dev-frankfurt-assets.pred.app/market-assets/Chelsea_128x128.png;#263697;2025-10-31 05:18:03.918529+00;2025-10-31 05:18:03.918529+00
9;63dad02b-0882-4c2c-ad49-96b39f8d5bae;de1bd252-baf5-4417-89ba-77d635f5f8f0;Crystal Palace;Crystal Palace;"London, England";https://dev-frankfurt-assets.pred.app/market-assets/Crystal_128x128.png;#276DB0;2025-10-31 05:18:41.330785+00;2025-10-31 05:18:41.330785+00
11;54f47cb1-3000-4edb-b9a9-cdfba9bde975;de1bd252-baf5-4417-89ba-77d635f5f8f0;Bournemouth;Bournemouth;"Bournemouth, England";https://dev-frankfurt-assets.pred.app/market-assets/Bourmoth_128x128.png;#C12025;2025-10-31 05:19:13.946398+00;2025-10-31 05:19:13.946398+00
12;11cccd75-3ccd-4b7c-8b85-a9e8f22f6c3d;de1bd252-baf5-4417-89ba-77d635f5f8f0;Aston Villa;Aston Villa;"Birmingham, England";https://dev-frankfurt-assets.pred.app/market-assets/Aston_128x128.png;#68A5DE;2025-10-31 05:19:41.249095+00;2025-10-31 05:19:41.249095+00
13;cbbed7c2-7219-417b-b697-08ed7d7beb03;de1bd252-baf5-4417-89ba-77d635f5f8f0;Nottm Forest;Nottm Forest;"Nottingham, England";https://dev-frankfurt-assets.pred.app/market-assets/Nottomforest_128x128.png;#C21B1B;2025-10-31 05:19:53.608175+00;2025-10-31 05:19:53.608175+00
14;56c95119-b236-4840-9c48-7dd12ca218e7;de1bd252-baf5-4417-89ba-77d635f5f8f0;Burnley;Burnley;"Burnley, England";https://dev-frankfurt-assets.pred.app/market-assets/Burnley_128x128.png;#810F5D;2025-10-31 05:20:13.524318+00;2025-10-31 05:20:13.524318+00
15;43a01c0d-91c6-4467-93a9-d30bf8732f5c;de1bd252-baf5-4417-89ba-77d635f5f8f0;Sunderland;Sunderland;"Sunderland, England";https://dev-frankfurt-assets.pred.app/market-assets/Sunderland_128x128.png;#B61B2A;2025-10-31 05:20:25.408277+00;2025-10-31 05:20:25.408277+00
16;52953235-1f7a-4817-a788-3c858e24da8c;de1bd252-baf5-4417-89ba-77d635f5f8f0;West Ham;West Ham;"London, England";https://dev-frankfurt-assets.pred.app/market-assets/Westham_128x128.png;#99293E;2025-10-31 05:20:36.976611+00;2025-10-31 05:20:36.976611+00
17;747780b0-b05b-4645-934b-2ad30644681a;de1bd252-baf5-4417-89ba-77d635f5f8f0;Fulham;Fulham;"London, England";https://dev-frankfurt-assets.pred.app/market-assets/Fulham_128x128.png;#C11515;2025-10-31 05:20:51.35113+00;2025-10-31 05:20:51.35113+00
18;"072e6726-3524-4550-b2bc-dd0cabba6e2d";de1bd252-baf5-4417-89ba-77d635f5f8f0;Wolves;Wolves;"Wolverhampton, England";https://dev-frankfurt-assets.pred.app/market-assets/Wolves_128x128.png;#DDAB31;2025-10-31 05:21:16.523632+00;2025-10-31 05:21:16.523632+00
19;fcd1020e-2cd0-40b9-a8ff-f4327f6dadb9;de1bd252-baf5-4417-89ba-77d635f5f8f0;Leeds;Leeds;"Leeds, England";https://dev-frankfurt-assets.pred.app/market-assets/Leeds_128x128.png;#D5CC34;2025-10-31 05:21:04.43482+00;2025-10-31 05:21:04.43482+00
20;"07a936dc-9d3a-4874-9e61-452135a06040";de1bd252-baf5-4417-89ba-77d635f5f8f0;Spurs;Tottenham;"London, England";https://dev-frankfurt-assets.pred.app/market-assets/Tottehham_128x128.png;#2645B0;2025-10-31 05:18:26.099852+00;2025-10-31 05:18:26.099852+00
21;ecc67396-4887-4c01-8924-60e555ffa146;30c19a6e-da71-4fef-942c-f7cf01fd42e4;Villarreal;Villarreal;"Villarreal, Spain";https://public-assets.pred.app/market-assets/LaLiga/Villarreal%20CF_128x128.png;#004080;2026-01-12 09:50:53.909528+00;2026-01-12 09:50:53.909528+00
22;5b356798-9e6a-4243-8169-14c5a67808a3;30c19a6e-da71-4fef-942c-f7cf01fd42e4;Elche;Elche;"Elche, Spain";https://public-assets.pred.app/market-assets/LaLiga/Elche_128x128.png;#E0C060;2026-01-12 09:51:45.812443+00;2026-01-12 09:51:45.812443+00
23;1f04b277-bf62-4206-9c51-8ec456b0dbe5;30c19a6e-da71-4fef-942c-f7cf01fd42e4;Barcelona;FC Barcelona;"Barcelona, Spain";https://public-assets.pred.app/market-assets/LaLiga/Barcelona_128x128.png;#C0A000;2026-01-12 09:50:26.694175+00;2026-01-12 09:50:26.694175+00
24;2d79273d-506a-4bc5-aa51-45b8ddbe9f92;30c19a6e-da71-4fef-942c-f7cf01fd42e4;Atletico;Atletico de Madrid;"Madrid, Spain";https://public-assets.pred.app/market-assets/LaLiga/Atl%C3%A9tico%20Madrid_128x128.png;#202040;2026-01-12 09:50:42.127851+00;2026-01-12 09:50:42.127851+00
25;70d1c8a2-40af-4a71-9dd6-b069ed0eafa8;30c19a6e-da71-4fef-942c-f7cf01fd42e4;Real Madrid;Real Madrid CF;"Madrid, Spain";https://public-assets.pred.app/market-assets/LaLiga/Real+Madrid_128x128.png;#E0A000;2026-01-12 09:50:33.336831+00;2026-01-12 09:50:33.336831+00
26;83c016a8-6d05-4464-b88e-73a35bf67010;30c19a6e-da71-4fef-942c-f7cf01fd42e4;Betis;Real Betis Balompie;"Seville, Spain";https://public-assets.pred.app/market-assets/LaLiga/Real%20Betis_128x128.png;#008040;2026-01-12 09:51:27.57349+00;2026-01-12 09:51:27.57349+00
27;f2831a09-7cc8-4bbe-8666-08eee6620473;30c19a6e-da71-4fef-942c-f7cf01fd42e4;Celta;Celta Vigo;"Vigo, Spain";https://public-assets.pred.app/market-assets/LaLiga/Celta%20de%20Vigo_128x128.png;#C02020;2026-01-12 09:51:32.364437+00;2026-01-12 09:51:32.364437+00
28;c9d3b999-2131-483c-91f9-9ea8ca13b18d;30c19a6e-da71-4fef-942c-f7cf01fd42e4;Athletic;Athletic Club;"Bilbao, Spain";https://public-assets.pred.app/market-assets/LaLiga/Athletic%20Bilbao_128x128.png;#E00020;2026-01-12 09:51:40.643383+00;2026-01-12 09:51:40.643383+00
29;70e297d2-2c88-43c8-bb4f-f30325283b8e;30c19a6e-da71-4fef-942c-f7cf01fd42e4;Espanyol;RCD Espanyol de Barcelona;"RCD Espanyol, Spain";https://public-assets.pred.app/market-assets/LaLiga/Espanyol_128x128.png;#E00020;2026-01-12 09:51:22.201603+00;2026-01-12 09:51:22.201603+00
30;8cbe650a-ec9a-4bb2-ab1c-1dd7aed30ad7;30c19a6e-da71-4fef-942c-f7cf01fd42e4;Sevilla;Sevilla;"Seville, Spain";https://public-assets.pred.app/market-assets/LaLiga/Sevilla%20FC_128x128.png;#E02020;2026-01-12 09:51:49.918823+00;2026-01-12 09:51:49.918823+00
